
SELECT c.Name AS country, ci.Name AS city
FROM Country c
JOIN City ci ON CAST(ci.Country AS TEXT) = CAST(c.Code AS TEXT)
WHERE ci.Population > 1000000;
QUERY PLAN
|--SCAN ci
`--SCAN c
Serbia|Beograd
France|Paris
Spain|Barcelona
Spain|Madrid
Austria|Wien
Czech Republic|Praha
Germany|Munchen
Germany|Berlin
Germany|Hamburg
Germany|Koln
Hungary|Budapest
Italy|Milano
Italy|Roma
Belarus|Minsk
Poland|Warszawa
Ukraine|Kharkiv
Ukraine|Odesa
Ukraine|Kyiv
Russia|Sankt Peterburg
Russia|Moskva
Russia|Nizhnii Novgorod
Russia|Voronezh
Russia|Kazan
Russia|Volgograd
Russia|Samara
Russia|Rostov-na-Donu
Russia|Ufa
Russia|Perm
Russia|Yekaterinburg
Russia|Chelyabinsk
Russia|Novosibirsk
Russia|Omsk
Russia|Krasnoyarsk
Bulgaria|Sofia
Romania|Bucuresti
Turkey|Adana
Turkey|Ankara
Turkey|Antalya
Turkey|Bursa
Turkey|Gaziantep
Turkey|Istanbul
Turkey|Izmir
Turkey|Kayseri
Turkey|Kocaeli
Turkey|Konya
United Kingdom|Birmingham
United Kingdom|London
Afghanistan|Kabul
China|Hefei
China|Huainan
China|Fuzhou
China|Xiamen
China|Lanzhou
China|Guangzhou
China|Shantou
China|Shenzhen
China|Dongguan
China|Foshan
China|Zhongshan
China|Huizhou
China|Guiyang
China|Shijiazhuang
China|Tangshan
China|Handan
China|Harbin
China|Qiqihar
China|Zhengzhou
China|Luoyang
China|Wuhan
China|Changsha
China|Nanjing
China|Wuxi
China|Xuzhou
China|Suzhou
China|Changzhou
China|Nantong
China|Huaian
China|Nanchang
China|Fuzhou
China|Jilin
China|Changchun
China|Shenyang
China|Dalian
China|Anshan
China|Fushun
China|Xian
China|Jinan
China|Zibo
China|Qingdao
China|Yantai
China|Weifang
China|Zaozhuang
China|Linyi
China|Taiyuan
China|Datong
China|Chengdu
China|Kunming
China|Hangzhou
China|Ningbo
China|Wenzhou
China|Nanning
China|Baotou
China|Wulumuqi
China|Beijing
China|Shanghai
China|Tianjin
China|Chongqing
Iran|Tabriz
Iran|Esfahan
Iran|Shiraz
Iran|Mashhad
Iran|Ahvaz
Iran|Tehran
Iran|Karaj
Iran|Qom
Pakistan|Lahore
Pakistan|Faisalabad
Pakistan|Gujranwala
Pakistan|Rawalpindi
Pakistan|Multan
Pakistan|Karachi
Pakistan|Hyderabad
Uzbekistan|Toshkent
Armenia|Yerevan
Georgia|Tbilisi
Azerbaijan|Baku
