
SELECT c.Name AS country, ci.Name AS city
FROM Country c
JOIN City ci ON CAST(ci.Country AS TEXT) = CAST(c.Code AS TEXT)
WHERE ci.Population > 1000000;
QUERY PLAN
|--SCAN ci
`--SCAN c
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
Serbia|Beograd
France|Paris
France|Paris
France|Paris
France|Paris
France|Paris
France|Paris
France|Paris
France|Paris
France|Paris
France|Paris
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Barcelona
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Spain|Madrid
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Austria|Wien
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Czech Republic|Praha
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Munchen
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Berlin
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Hamburg
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Germany|Koln
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Hungary|Budapest
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Milano
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Italy|Roma
Belarus|Minsk
Belarus|Minsk
