
SELECT c.Name AS CountryName, s.AvgPop AS AverageCityPopulation
FROM Country c, (
    SELECT ci.Country, AVG(ci.Population) AS AvgPop
    FROM City ci
    GROUP BY ci.Country
) s
WHERE c.Code = s.Country;
QUERY PLAN
|--CO-ROUTINE s
|  |--SCAN ci
|  `--USE TEMP B-TREE FOR GROUP BY
|--SCAN s
`--SEARCH c USING INDEX sqlite_autoindex_Country_2 (Code=?)
Austria|277681.9
Afghanistan|842775.0
Antigua and Barbuda|22219.0
Albania|136364.5
American Samoa|
Andorra|22256.0
Angola|2756500.0
Armenia|1066264.0
Aruba|
Australia|1127669.86666667
Anguilla|
Azerbaijan|921300.0
Belgium|156266.714285714
Bangladesh|1123666.53846154
Barbados|88529.0
Benin|344573.0
Bermuda|
Burkina Faso|982595.0
Bulgaria|402139.833333333
Bhutan|42465.0
Burundi|497166.0
Bosnia and Herzegovina|149578.285714286
Bolivia|428260.416666667
Brazil|459041.574257426
Bahrain|143035.0
Brunei|279924.0
Bahamas|248948.0
British Virgin Islands|
Belarus|554009.0
Belize|33593.0
Cuba|340619.571428571
Cameroon|555826.111111111
Cayman Islands|
Canada|439462.942857143
Ceuta|82376.0
Switzerland|138194.6
Cote dIvoire|694724.111111111
Sri Lanka|381733.0
China|1059027.57654723
Colombia|604079.454545455
Cocos Islands|
Comoros|41557.0
Cook Islands|
Costa Rica|163623.857142857
Curacao|125000.0
Cape Verde|131719.0
Cyprus|69160.6666666667
Czech Republic|226645.307692308
Germany|301185.674698795
Djibouti|475322.0
Denmark|179921.428571429
Dominican Republic|1670844.0
Algeria|354034.5
Spain|299252.274193548
Kenya|760805.142857143
Tanzania|438257.761904762
Uganda|624406.333333333
Ecuador|1136956.0
Eritrea|380568.0
El Salvador|205432.125
Egypt|972385.086956522
Ethiopia|432070.416666667
Estonia|251312.0
France|238451.780487805
Falkland Islands|
Faroe Islands|12245.0
French Guiana|57229.0
Fiji|75225.0
Liechtenstein|5241.0
French Polynesia|
Micronesia|6062.5
Gabon|249249.0
Gaza Strip|449477.0
United Kingdom|307458.913580247
Guernsey|
Jersey|
Isle of Man|
Gibraltar|
Guatemala|559030.75
Georgia|361007.5
Ghana|435504.5
Guinea-Bissau|
Equatorial Guinea|79850.0
Greece|162947.470588235
Greenland|
Guadeloupe|
Guam|
Guyana|118363.0
Hungary|201125.823529412
Honduras|174472.933333333
Saint Helena|
Hong Kong|7055071.0
Croatia|226825.8
Italy|272723.576923077
Israel|268755.555555556
India|1609495.05
Iran|647863.92
Ireland|194122.0
Iraq|863343.533333333
Iceland|43878.0
Japan|980994.040816327
Jamaica|662426.0
Jordan|819604.333333333
Cambodia|703963.0
Kazakhstan|330711.863636364
Kyrgyzstan|583450.0
Kiribati|50182.0
Saint Kitts and Nevis|15500.0
Kosovo|198214.0
Kuwait|637411.0
Luxembourg|99852.0
Laos|698318.0
Libya|886666.666666667
Liberia|1010970.0
Lesotho|227880.0
Lithuania|335045.333333333
Latvia|696618.0
Malta|6000.0
Morocco|571776.294117647
Macao|
Malaysia|347125.894736842
Martinique|100000.0
Mayotte|
Monaco|975.0
Moldova|318539.0
Melilla|78476.0
Mexico|574321.108433735
Marshall Islands|27797.0
Macedonia|311356.0
Montenegro|150977.0
Mongolia|760077.0
Montserrat|0.0
Mozambique|327049.25
Mauritius|
Maldives|133019.0
Malawi|667852.0
Myanmar|1062327.88888889
